2026-04-25 17:44:25,773 | INFO | Rocket_Simulation | Starting simulation
2026-04-25 17:44:25,773 | INFO | Rocket_Simulation | Simulation time: 0s
2026-04-25 17:45:05,903 | INFO | Rocket_Simulation | Simulation time: 1000s
2026-04-25 17:45:46,103 | INFO | Rocket_Simulation | Simulation time: 2000s
2026-04-25 17:46:26,044 | INFO | Rocket_Simulation | Simulation time: 3000s
2026-04-25 17:47:06,084 | INFO | Rocket_Simulation | Simulation time: 4000s
2026-04-25 17:47:46,099 | INFO | Rocket_Simulation | Simulation time: 5000s
2026-04-25 17:48:26,515 | INFO | Rocket_Simulation | Simulation time: 6000s
2026-04-25 17:49:06,607 | INFO | Rocket_Simulation | Simulation time: 7000s
2026-04-25 17:49:46,667 | INFO | Rocket_Simulation | Simulation time: 8000s
2026-04-25 17:50:26,541 | INFO | Rocket_Simulation | Simulation time: 9000s
2026-04-25 17:51:06,516 | INFO | Rocket_Simulation | Simulation time: 10000s
2026-04-25 17:51:46,724 | INFO | Rocket_Simulation | Simulation time: 11000s
2026-04-25 17:52:26,494 | INFO | Rocket_Simulation | Simulation time: 12000s
2026-04-25 17:53:06,342 | INFO | Rocket_Simulation | Simulation time: 13000s
2026-04-25 17:53:46,287 | INFO | Rocket_Simulation | Simulation time: 14000s
2026-04-25 17:54:00,130 | INFO | Rocket_Simulation | Rocket has impacted the ground
2026-04-25 17:54:00,130 | INFO | Rocket_Simulation.Flight_Logger | Saving flight data
2026-04-25 17:54:01,197 | INFO | Rocket_Simulation | Simulation complete
2026-04-25 17:54:01,198 | INFO | Rocket_Simulation.Plotting | Plotting flight data
2026-04-25 17:54:02,665 | INFO | Rocket_Simulation.Analyze | Analyzing flight data
2026-04-25 17:54:02,711 | INFO | Rocket_Simulation.Analyze | Saving analysis results
2026-04-25 17:54:02,715 | INFO | Rocket_Simulation | Total runtime: 0:09:36.944334
2026-04-25 17:54:02,715 | INFO | Rocket_Simulation | Stopping logging listener
